,ltage,tage,hashed_perceptron
server_001,2.4076,2.2457,1.3117
server_002,1.5104,1.4998,1.6218
server_003,8.9614,9.6763,11.1272
server_004,6.3155,5.9171,6.3922
server_009,1.7495,1.6809,1.484
server_010,1.8754,1.7405,1.5429
server_011,2.6044,2.324,1.9133
server_012,1.9701,1.8849,1.8564
server_013,2.073,2.106,1.7426
server_014,1.5815,1.614,1.5603
server_015,1.5967,1.5769,1.5533
server_016,0.848999,0.821999,0.5762
server_017,1.9946,2.0874,0.5561
server_018,2.1823,2.5637,0.579
server_019,1.4895,1.576,0.3148
server_020,2.3912,2.6184,0.6469
server_021,2.6606,2.937,0.3349
server_022,1.6923,1.9119,0.3572
server_023,0.7221,0.7379,0.602
server_024,0.8174,0.8988,0.5585
server_025,1.15,1.1204,0.4781
server_026,1.0019,1.023,0.4351
server_027,0.9943,0.9972,0.4342
server_028,1.3357,1.2519,0.6504
server_029,1.4341,1.4165,0.7037
server_030,1.04,1.101,0.384
server_031,1.4167,1.4597,0.6341
server_032,4.9259,5.2472,0.336
server_033,1.8794,1.9352,0.2201
server_034,1.5917,1.589,0.2973
server_035,1.7545,1.8508,0.2104
server_036,1.675,1.6738,0.1998
server_037,5.1078,5.3011,0.1695
server_038,4.3447,4.3393,0.1426
server_039,1.3665,1.3672,0.1795
